10-27 21:25:53.211: D/AndroidRuntime(28430): Shutting down VM
10-27 21:25:53.233: E/AndroidRuntime(28430): 	at android.view.Choreographer.doFrame(Choreographer.java:550)
10-27 21:25:53.233: E/AndroidRuntime(28430): 	at android.view.Choreographer$FrameDisplayEventReceiver.run(Choreographer.java:753)
10-27 21:25:53.233: E/AndroidRuntime(28430): 	at android.os.Handler.handleCallback(Handler.java:739)
10-27 21:25:53.233: E/AndroidRuntime(28430): 	at android.os.Handler.dispatchMessage(Handler.java:95)
10-27 21:25:53.233: E/AndroidRuntime(28430): 	at android.os.Looper.loop(Looper.java:135)
10-27 21:25:53.233: E/AndroidRuntime(28430): 	at android.app.ActivityThread.main(ActivityThread.java:5343)
10-27 21:25:53.233: E/AndroidRuntime(28430): 	at java.lang.reflect.Method.invoke(Native Method)
10-27 21:25:53.233: E/AndroidRuntime(28430): 	at java.lang.reflect.Method.invoke(Method.java:372)
10-27 21:25:53.233: E/AndroidRuntime(28430): 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:905)
10-27 21:25:53.233: E/AndroidRuntime(28430): 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:700)
